zip,primary_city,acceptable_cities,unacceptable_cities,state,county,area_codes,latitude,longitude,irs_estimated_population
98177,Seattle,Shoreline,"Bitter Lake, Richmond Beach, The Highlands",WA,King County,"425,206",47.73,-122.37,19860
98178,Seattle,Tukwila,"Bryn Mawr, Skyway",WA,King County,"206,253,425",47.49,-122.25,23900
98181,Seattle,,Macys,WA,King County,206,47.61,-122.33,0
98184,Seattle,,Bank Of America,WA,King County,206,47.6,-122.33,0
98185,Seattle,,Safeco Plaza,WA,King County,206,47.66,-122.29,0
98188,Seattle,"Seatac, Tukwila","Duwamish, Mcmicken Heights, Riverton",WA,King County,"425,206,253",47.44,-122.28,24250
98189,Seattle,,Diagnos Techs Inc,WA,,206,47.42,-122.25,0
98190,Seattle,,Capital One,WA,King County,206,47.5,-122.29,0
98191,Seattle,,Qwest,WA,King County,206,47.61,-122.33,0
98194,Seattle,,,WA,King County,206,47.61,-122.33,299
98195,Seattle,,Univ Of Washington,WA,King County,206,47.65,-122.31,192
98198,Seattle,"Des Moines, Normandy Park, Seatac",Redondo Beach,WA,King County,"206,253",47.38,-122.31,34090
98199,Seattle,,"Fort Lawton, Magnolia",WA,King County,206,47.65,-122.4,20660
